time/episodes,time/total_timesteps,rollout/ep_rew_mean,rollout/ep_len_mean,rollout/success_rate,time/fps,time/time_elapsed,train/ent_coef,train/learning_rate,train/ent_coef_loss,train/n_updates,train/actor_loss,train/critic_loss,eval/success_rate,eval/mean_reward,eval/mean_ep_length,pose_reward/env_0,reward/env_0,distance_reward/env_0,success_rate/env_0,distance_reward/env_1,success_rate/env_1,pose_reward/env_1,reward/env_1,pose_reward/env_2,distance_reward/env_2,reward/env_2,success_rate/env_2,reward/env_3,success_rate/env_3,pose_reward/env_3,distance_reward/env_3,pose_reward/env_4,success_rate/env_4,reward/env_4,distance_reward/env_4,pose_reward/env_5,distance_reward/env_5,reward/env_5,success_rate/env_5,success_rate/env_6,pose_reward/env_6,reward/env_6,distance_reward/env_6,distance_reward/env_7,pose_reward/env_7,success_rate/env_7,reward/env_7
10,1632,-3159.2741131875,102.0,0.0,7,220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,2448,-4043.4038333749995,102.0,0.0,7,329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,3264,-4515.211292625,102.0,0.0,7,438,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,4080,-4652.445474025,102.0,0.0,7,545,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,5712,-4901.562464714286,102.0,0.0,7,765,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,6528,-4784.373336015626,102.0,0.0,7,877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,7344,-4643.695436041667,102.0,0.0,7,996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,8160,-4638.7429760375,102.0,0.0,7,1109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,9792,-4576.80805903125,102.0,0.0,7,1335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,10608,-4561.531470960001,102.0,0.0,6,1600,0.9780313968658447,0.0003,-0.2614772319793701,75,4.2223687171936035,4960.314453125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,11424,-4668.58649945,102.0,0.0,5,1915,0.9491624236106873,0.0003,-0.5830532312393188,177,37.18295669555664,2403.824951171875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
